year,turn,r1,r2,r3,r4,r5,r6,b
7,24,08,09,17,25,27,32,06
7,25,03,16,18,22,23,26,03
7,26,01,04,14,16,26,29,10
7,27,02,03,09,22,24,27,11
7,28,03,08,13,20,29,30,11
7,29,06,08,09,11,19,21,10
7,30,03,16,21,22,27,30,04
7,31,04,06,10,12,19,31,01
7,32,04,08,16,24,30,32,16
7,33,03,04,11,17,18,28,09
7,34,02,09,12,14,23,25,16
7,35,01,04,08,12,29,31,06
7,36,03,14,21,23,30,31,10
7,37,10,11,16,23,31,33,16
7,38,03,11,14,19,21,30,05
7,39,06,07,19,24,27,29,01
7,40,13,14,15,19,24,30,10
7,41,01,03,09,11,26,31,12
7,42,03,13,16,19,32,33,08
7,43,03,08,10,11,14,30,05
7,44,09,13,20,21,24,32,08
7,45,01,12,18,21,28,30,10
7,46,02,06,07,09,19,26,14
7,47,02,04,16,18,23,30,06
7,48,02,11,12,15,17,28,12
7,49,04,14,18,19,31,33,02
7,50,01,05,08,13,18,25,02
7,51,03,14,16,26,27,33,13
7,52,02,03,07,08,26,29,07
7,53,10,13,16,17,18,27,11
7,54,01,03,16,18,23,28,05
7,55,02,06,11,22,28,29,02
7,56,14,17,21,29,31,32,12
7,57,05,11,18,19,20,21,09
7,58,07,08,10,13,25,27,07
7,59,01,03,04,06,07,29,14
7,60,01,02,08,16,19,29,05
7,61,01,06,07,11,20,23,05
7,62,08,17,20,29,30,33,09
7,63,10,15,17,24,26,28,12
7,64,02,06,09,16,21,23,16
7,65,04,07,19,21,25,31,07
7,66,05,11,16,24,32,33,08
7,67,06,11,13,17,21,23,11
7,68,11,18,19,22,23,28,01
7,69,03,04,11,12,14,32,12
7,70,06,08,15,17,18,30,12
7,71,01,06,14,21,30,31,09
7,72,02,04,08,13,14,33,16
7,73,05,09,11,19,28,31,02
7,74,08,13,15,25,27,28,03
7,75,13,16,17,22,30,32,03
7,76,06,12,15,16,20,31,02
7,77,06,08,14,21,28,29,02
7,78,04,06,07,23,25,32,01
7,79,03,04,14,20,21,25,14
7,80,01,08,16,18,19,29,04
7,81,09,14,15,19,24,33,13
7,82,05,15,17,18,25,32,15
7,83,11,14,18,20,21,26,05
7,84,06,10,12,14,20,27,10
7,85,02,12,17,19,29,30,12
7,86,05,08,14,22,27,29,16
7,87,01,03,04,05,08,21,09
7,88,02,04,10,28,29,33,06
7,89,03,07,08,15,19,28,03
7,90,05,11,13,27,30,31,02
7,91,02,11,17,30,31,32,07
7,92,14,18,22,23,24,33,09
7,93,05,10,13,15,19,29,02
7,94,03,05,18,19,24,32,02
7,95,01,06,08,18,29,32,07
7,96,09,10,20,22,30,32,08
7,97,04,08,13,18,26,30,11
7,98,02,03,05,11,19,20,12
7,99,03,04,14,27,31,33,05
7,100,08,18,27,29,30,32,06
7,101,15,16,18,21,22,30,14
7,102,04,06,08,18,20,33,11
7,103,07,09,25,27,30,32,01
7,104,02,08,12,14,20,32,04
7,105,02,07,10,17,23,29,14
7,106,12,18,21,24,25,29,08
7,107,02,08,09,18,24,28,10
7,108,03,07,12,13,20,33,02
7,109,01,04,07,08,13,14,04
7,110,02,04,07,15,24,28,03
7,111,02,09,10,12,13,17,11
7,112,07,11,14,16,25,32,11
7,113,04,18,23,25,26,31,10
7,114,05,12,15,24,27,33,05
7,115,01,05,10,16,20,26,02
7,116,03,05,07,11,17,27,13
7,117,03,07,09,10,26,32,01
7,118,04,10,16,18,25,32,15
7,119,03,08,11,13,25,31,12
7,120,06,07,11,12,18,25,01
7,121,03,10,21,22,27,28,06
7,122,04,07,19,24,26,32,09
7,123,01,13,15,23,28,32,02
7,124,03,07,13,16,19,32,16
7,125,03,05,18,20,27,33,01
7,126,09,10,19,23,26,31,09
7,127,06,09,13,16,24,28,11
7,128,09,10,19,21,27,31,05
7,129,05,07,20,21,22,30,08
7,130,03,05,09,11,27,31,04
7,131,03,05,07,16,22,27,05
7,132,01,09,16,21,22,23,05
7,133,03,06,07,11,13,33,10
7,134,01,04,10,13,18,25,15
7,135,01,11,16,26,31,33,16
7,136,01,02,18,21,25,29,14
7,137,03,07,08,18,20,22,03
7,138,02,03,15,17,19,25,16
7,139,06,10,12,14,16,22,06
7,140,01,05,16,21,22,26,11
7,141,02,03,04,06,17,31,08
7,142,11,20,25,26,27,30,08
7,143,01,06,22,23,24,26,04
7,144,08,14,23,25,28,32,16
7,145,08,09,11,12,25,31,11
7,146,04,18,22,24,26,30,09
7,147,03,07,18,24,26,27,04
7,148,03,09,16,17,23,28,07
7,149,01,17,19,22,28,30,03
7,150,03,05,11,13,19,24,05
7,151,01,06,10,11,23,25,02
7,152,11,17,21,29,30,33,08
7,153,01,04,19,20,25,31,15
8,1,02,04,07,09,14,29,03
8,2,03,04,18,22,25,29,09
8,3,06,08,11,13,17,19,12
8,4,04,08,22,23,27,29,08
8,5,03,05,15,22,24,25,15
8,6,01,14,16,18,22,27,14
8,7,01,13,17,22,23,30,11
8,8,02,15,16,23,26,27,07
8,9,09,21,29,30,31,32,16
8,10,03,08,11,17,21,27,09
8,11,02,14,17,21,30,32,03
8,12,03,04,05,16,20,30,13
8,13,02,08,15,16,22,28,10
8,14,03,09,11,17,21,31,14
8,15,06,08,11,16,29,33,03
8,16,03,12,14,21,29,33,13
8,17,02,05,07,17,20,22,02
8,18,02,05,06,23,26,33,13
8,19,02,09,11,17,27,31,05
8,20,03,10,13,15,28,30,03
8,21,09,12,19,20,26,28,15
8,22,12,18,20,24,28,32,05
8,23,08,16,18,25,26,32,02
8,24,11,20,21,26,28,30,13
8,25,08,16,17,18,19,21,14
8,26,05,17,19,27,29,32,03
8,27,15,18,19,23,24,26,13
8,28,01,13,21,26,29,32,10
8,29,01,09,14,22,29,32,12
8,30,06,15,18,19,20,28,11
8,31,03,06,11,15,21,31,13
8,32,05,14,16,21,23,28,13
8,33,12,17,18,30,31,33,04
8,34,03,05,09,11,21,29,09
8,35,07,11,14,17,18,29,16
8,36,02,06,13,18,23,28,16
8,37,01,12,22,24,28,31,06
8,38,03,09,10,11,15,19,13
8,39,01,07,10,13,22,29,01
8,40,06,13,22,25,27,28,09
8,41,08,11,20,22,23,27,04
8,42,03,04,09,11,12,24,01
8,43,03,10,16,22,27,33,14
8,44,05,07,09,20,26,29,09
8,45,01,10,13,21,29,32,04
8,46,15,16,18,24,28,33,15
8,47,09,12,13,14,20,22,10
8,48,11,18,21,27,30,32,01
8,49,03,10,12,13,19,25,04
8,50,01,11,19,24,26,27,03
8,51,01,04,08,10,13,33,11
8,52,02,10,17,23,29,31,10
8,53,06,12,19,20,21,27,04
8,54,02,06,16,17,20,25,07
8,55,11,16,19,23,26,31,04
8,56,08,13,22,23,25,30,07
8,57,19,20,21,26,28,30,08
8,58,01,12,21,27,29,31,11
8,59,02,06,15,29,31,32,16
8,60,06,07,08,17,30,32,03
8,61,01,02,05,12,26,31,06
8,62,06,08,13,17,24,27,15
8,63,05,09,11,14,16,17,15
8,64,01,02,07,09,12,18,12
8,65,05,13,15,19,30,31,05
8,66,07,12,21,22,29,30,08
8,67,10,11,15,19,26,33,13
8,68,05,07,17,23,27,29,07
8,69,05,08,17,20,26,30,10
8,70,05,06,12,15,18,33,13
8,71,01,06,21,26,27,28,09
8,72,01,05,10,18,22,30,09
8,73,01,09,13,22,28,33,08
8,74,01,11,15,19,20,24,09
8,75,01,08,14,18,22,30,03
8,76,02,05,07,11,13,18,11
8,77,04,12,22,26,30,33,09
8,78,06,13,16,26,30,33,01
8,79,03,04,05,10,20,32,09
8,80,04,14,22,25,29,32,14
8,81,02,12,13,18,25,31,04
8,82,04,08,10,12,21,26,09
8,83,07,08,09,18,29,32,09
8,84,04,07,13,20,29,30,16
8,85,01,04,12,20,24,29,15
8,86,04,05,10,26,27,30,12
8,87,01,07,26,29,30,31,06
8,88,01,06,08,16,17,23,05
8,89,03,06,11,16,22,27,11
8,90,02,07,14,18,19,24,01
8,91,03,12,14,23,31,32,10
